Comment,Designator,Footprint,LCSC
10k,"R1,R10,R11,R12,R2,R3,R4,R5,R6,R7,R8,R9",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C3152154
TEMT6000,"L1,L10,L11,L12,L2,L3,L4,L5,L6,L7,L8,L9",TEMT6000-SMD,C94098
