Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R1,TEMT6000,TEMT6000-SMD,56.5,-117.094,0.0,bottom
R4,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,56.5,-114.935,180.0,bottom
